AD,University of Andorra,http://www.uda.ad/,Abu Dhabi,Bachelors,Business,3.5,GRE 310,11199,USD,Yes
AL,Epoka University,http://www.epoka.edu.al/,Canada,Bachelors,Business,3.05,IELTS 7.5,30678,EUR,Yes
AL,Polytechnic University of Tirane,http://www.upt.al/,UK,Bachelors,Law,3.87,TOEFL 100,36764,USD,No
AL,"University of Elbasan ""Aleksander Xhuvani""",http://www.uniel.edu.al/,Germany,Bachelors,Law,2.8,GRE 320,31776,EUR,No
AL,"University of Gjirokstra ""Eqerem Cabej""",http://www.uogj.edu.al/,UK,Bachelors,Business,3.54,GRE 320,10029,USD,Yes
AL,"University of Korca ""Fan Noli""",http://www.unkorce.edu.al/,Germany,Masters,Computer Science,3.4,None,47827,EUR,No
AL,University of New York Tirana,http://www.unyt.edu.al/,Germany,Bachelors,Law,3.09,None,22791,USD,Yes
AL,"University of Shkodra ""Luigj Gurakuqi""",http://www.unishk.edu.al/,UK,Bachelors,Computer Science,3.64,IELTS 7.5,32746,EUR,Yes
AL,University of Tirana,http://www.unitir.edu.al/,USA,Masters,Computer Science,3.53,TOEFL 100,24612,USD,Yes
AL,"University of Vlora ""Ismail Qemali""",http://www.univlora.edu.al/,UK,Masters,Psychology,3.75,None,25463,USD,Yes
AL,University “Pavaresia” Vlore,http://www.unipavaresia.edu.al/,Canada,Masters,Mechanical Engineering,3.27,GRE 320,39709,USD,No
AM,American University of Armenia,http://www.aua.am/,Germany,Masters,Psychology,3.57,GRE 320,17221,USD,Yes
AM,Armenian State Agrarian University,http://www.asau.am/,UK,Masters,Business,2.65,GRE 320,14970,USD,Yes
AM,Armenian State University of Economics,http://www.asue.am/,Australia,Bachelors,Mechanical Engineering,2.6,TOEFL 100,12240,EUR,No
AM,Eurasia International University,http://www.eiu.am/,Germany,Bachelors,Mechanical Engineering,3.77,None,33181,USD,No
AM,European Regional Educational Academy of Armenia,http://www.eriicta.am/,Germany,Masters,Mechanical Engineering,2.57,GRE 320,30575,USD,No
AM,French University in Armenia (UFAR),http://www.ufar.am/,USA,Bachelors,Business,3.6,IELTS 7.5,38608,USD,Yes
AM,Mehrabyan Medical Institute and Medical College,http://www.armmed.am/,Germany,Masters,Computer Science,3.79,IELTS 7.5,32863,USD,Yes
AM,Russian-Armenian (Slavonic) State University,http://www.rau.am/,Germany,Masters,Business,3.35,IELTS 7.5,24824,USD,No
AM,State Engineering University of Armenia,http://www.seua.am/,Germany,Masters,Mechanical Engineering,2.7,TOEFL 100,27634,USD,Yes
AM,Yerevan Haibusak University,http://www.haybusak.org/,Germany,Masters,Law,2.5,None,48266,USD,Yes
AM,Yerevan State Medical University,http://www.ysmu.am/,UK,Masters,Psychology,3.66,TOEFL 100,30965,EUR,Yes
AM,Yerevan State University,http://www.ysu.am/,UK,Masters,Business,2.78,IELTS 7.5,19914,USD,Yes
AN,"American University of the Caribbean, Sint Maarten",http://www.aucmed.edu/,Canada,Bachelors,Psychology,3.24,None,48578,EUR,No
AN,International University School of Medicine (IUSOM),http://www.internationaluniversity-schoolofmedicine.org/,Germany,Bachelors,Business,3.2,GRE 320,19452,EUR,Yes
AN,"St.James's School of Medicine, Bonaire",http://www.sjsm.org/,UK,Masters,Psychology,3.37,None,10310,USD,Yes
AN,University of Sint Eustatius School of Medicine,http://www.eustatiusmed.edu/,UK,Masters,Computer Science,2.93,IELTS 7.5,28328,EUR,No
AN,"University of the Netherlands Antilles, Curacao",http://www.una.an/,UK,Masters,Business,3.15,None,38763,EUR,Yes
AO,Universidade Católica de Angola,http://www.ucan.edu/,Canada,Masters,Psychology,3.59,None,46075,USD,Yes
AO,Universidade Gregorio Semedo,http://www.ugs.ed.ao/,UK,Bachelors,Computer Science,3.98,IELTS 7.5,26524,EUR,Yes
AO,Universidade Independente de Angola,http://www.unia.ao/,Germany,Masters,Law,3.45,GRE 320,34112,EUR,No
AO,Universidade Lusíada de Angola,http://www.ulangola.net/,Germany,Masters,Computer Science,3.0,GRE 320,25436,EUR,Yes
AO,Universidade Metodista de Angola,http://www.uma.co.ao/,Canada,Bachelors,Computer Science,2.82,None,29948,USD,Yes
AO,Universidade Metropolitana de Angola,http://www.unimetroangola.com/,Germany,Bachelors,Computer Science,3.09,IELTS 7.5,41013,EUR,Yes
AO,Universidade Tecnica de Angola,http://www.utanga.co.ao/,Australia,Masters,Psychology,2.8,GRE 320,44716,USD,Yes
AO,Univesidade Agostinho Neto,http://www.uan.ao/,Australia,Masters,Law,2.62,None,49994,USD,Yes
AR,Instituto de Enseñanza Superior del Ejército,http://www.iese.edu.ar/,Canada,Bachelors,Psychology,3.13,IELTS 7.5,26692,EUR,No
AR,"Instituto Nacional de Educación Física ""General Manuel Belgrano""",http://www.unlu.edu.ar/Belgrano.htm,Canada,Masters,Mechanical Engineering,2.81,IELTS 7.5,13665,EUR,No
AR,Instituto Tecnológico de Buenos Aires,http://www.itba.edu.ar/,Canada,Masters,Psychology,3.51,TOEFL 100,18658,USD,No
AR,Instituto Universitario Aeronáutico,http://www.iua.edu.ar/,Germany,Masters,Business,3.85,None,40456,USD,Yes
AR,Instituto Universitario CEMA,http://www.cema.edu.ar/,Australia,Bachelors,Business,2.93,IELTS 7.5,48596,EUR,No
AR,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,http://www.barcelo.edu.ar/,USA,Masters,Mechanical Engineering,2.98,GRE 320,28424,USD,Yes
AR,Instituto Universitario de Estudios Navales y Marítimos,http://www.inun.edu.ar/,UK,Bachelors,Law,3.09,GRE 320,43319,USD,Yes
AR,Instituto Universitario de la Policia Federal,http://www.universidad-policial.edu.ar/,Germany,Masters,Law,2.67,GRE 320,26767,USD,No
AR,Instituto Universitario Nacional del Arte,http://www.iuna.edu.ar/,Canada,Masters,Business,2.6,None,42066,USD,No
AR,Universidad Abierta Interamericana,http://www.vaneduc.edu.ar/uai/,UK,Bachelors,Psychology,2.68,TOEFL 100,20266,EUR,No
AR,Universidad Adventista del Plata,http://www.uapar.edu/,Germany,Masters,Mechanical Engineering,3.89,IELTS 7.5,47687,USD,No
AR,Universidad Argentina de la Empresa,http://www.uade.edu.ar/,UK,Bachelors,Law,3.73,TOEFL 100,48885,EUR,Yes
AR,"Universidad Argentina ""John F. Kennedy""",http://www.kennedy.edu.ar/,Australia,Masters,Law,3.07,IELTS 7.5,49532,EUR,Yes
AR,Universidad Atlantida Argentina,http://www.atlantida.edu.ar/,USA,Bachelors,Psychology,3.84,None,32328,EUR,Yes
AR,Universidad Austral Buenos Aires,http://www.austral.edu.ar/,Germany,Masters,Law,2.72,TOEFL 100,22867,EUR,Yes
AR,Universidad Autónoma de Entre Ríos,http://www.uader.edu.ar/,Australia,Masters,Computer Science,3.87,TOEFL 100,13623,USD,Yes
AR,Universidad Blas Pascal,http://www.ubp.edu.ar/,Australia,Masters,Business,2.69,GRE 320,18221,EUR,No
AR,"Universidad CAECE, Buenos Aires",http://www.caece.edu.ar/,Canada,Masters,Computer Science,3.94,None,46974,USD,Yes
AR,Universidad Católica Argentina Santa Maria de los Buenos Aires,http://www.uca.edu.ar/,Germany,Masters,Computer Science,3.62,None,49388,USD,Yes
AR,Universidad Católica de Córdoba,http://www.uccor.edu.ar/,UK,Bachelors,Mechanical Engineering,2.93,GRE 320,49271,EUR,Yes
AR,Universidad Católica de Cuyo,http://www.uccuyo.edu.ar/,USA,Bachelors,Mechanical Engineering,2.88,TOEFL 100,34550,EUR,Yes
AR,Universidad Católica de La Plata,http://www.ucalp.edu.ar/,UK,Bachelors,Law,3.35,IELTS 7.5,12457,EUR,Yes
AR,Universidad Católica de Salta,http://www.ucasal.edu.ar/,UK,Masters,Mechanical Engineering,3.94,GRE 320,29618,USD,No
AR,Universidad Católica de Santa Fé,http://www.ucsf.edu.ar/,Germany,Masters,Computer Science,3.73,GRE 320,14421,EUR,No
AR,Universidad Católica de Santiago del Estero,http://www.ucse.edu.ar/,Canada,Masters,Law,3.93,IELTS 7.5,33798,EUR,Yes
AR,Universidad Champagnat,http://www.uch.edu.ar/,Germany,Masters,Psychology,2.66,GRE 320,38415,USD,No
AR,Universidad de Belgrano,http://www.ub.edu.ar/,USA,Bachelors,Computer Science,2.93,TOEFL 100,30451,EUR,Yes
AR,Universidad de Bologna - Representación en Buenos Aires,http://www.unibo.edu.ar/,UK,Bachelors,Business,3.14,IELTS 7.5,28280,EUR,No
AR,Universidad de Buenos Aires,http://www.uba.ar/,USA,Masters,Law,3.06,IELTS 7.5,22658,EUR,Yes
AR,Universidad de Ciencias Empresariales y Sociales,http://www.uces.edu.ar/,Germany,Bachelors,Law,2.73,TOEFL 100,18793,USD,No
AR,Universidad de Concepción del Uruguay,http://www.ucu.edu.ar/,Canada,Bachelors,Business,3.96,IELTS 7.5,34529,USD,Yes
AR,Universidad de Congreso,http://www.ucongres.edu.ar/,Canada,Bachelors,Mechanical Engineering,3.67,TOEFL 100,17693,USD,No
AR,Universidad de Flores - Buenos Aires,http://www.uflo.edu.ar/,UK,Bachelors,Mechanical Engineering,2.94,GRE 320,23610,USD,Yes
AR,Universidad del Aconcagua,http://www.uda.edu.ar/,USA,Masters,Computer Science,3.59,None,11177,EUR,No
AR,Universidad de la Cuenca del Plata,http://www.ucp.edu.ar/,Germany,Bachelors,Psychology,3.12,GRE 320,25522,EUR,No
AR,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),http://www.ufasta.edu.ar/,USA,Bachelors,Law,3.57,IELTS 7.5,44116,USD,No
AR,Universidad de la Marina Mercante,http://www.udemm.edu.ar/,Canada,Masters,Computer Science,3.97,None,32931,EUR,No
AR,Universidad del Centro Educativo Latinoamericano Rosario,http://www.ucel.edu.ar/,USA,Masters,Psychology,2.54,TOEFL 100,13285,EUR,Yes
AR,Universidad del Cine - Buenos Aires,http://www.ucine.edu.ar/,Germany,Bachelors,Law,3.5,GRE 320,42137,EUR,No
AR,Universidad del Museo Social Argentino,http://www.umsa.edu.ar/,Canada,Bachelors,Mechanical Engineering,3.23,None,39439,USD,Yes
AR,"Universidad del Norte ""Santo Tomás de Aquino""",http://www.unsta.edu.ar/,Canada,Masters,Business,3.81,None,42691,EUR,Yes
AR,Universidad del Salvador,http://www.salvador.edu.ar/,Canada,Bachelors,Business,3.95,None,44650,USD,No
AR,Universidad de Mendoza,http://www.um.edu.ar/,Australia,Bachelors,Computer Science,3.43,None,25596,EUR,No
AR,Universidad de Morón,http://www.unimoron.edu.ar/,Germany,Bachelors,Psychology,3.52,TOEFL 100,24870,USD,Yes
AR,Universidad de Palermo,http://www.palermo.edu.ar/,Canada,Masters,Law,2.73,IELTS 7.5,33132,EUR,No
AR,Universidad de San Andres,http://www.udesa.edu.ar/,Australia,Bachelors,Psychology,3.83,IELTS 7.5,40933,USD,No
AR,Universidad Empresarial Siglio 21,http://www.uesiglo21.edu.ar/,Germany,Masters,Computer Science,3.66,None,49545,USD,No
AR,Universidad ISALUD,http://www.isalud.edu.ar/,Australia,Bachelors,Computer Science,3.56,TOEFL 100,23255,EUR,Yes
AR,"Universidad ""Juan Agustín Maza""",http://www.umaza.edu.ar/,Germany,Bachelors,Computer Science,3.84,None,16152,EUR,No
AR,Universidad Maimónides,http://www.maimonides.edu.ar/,UK,Bachelors,Computer Science,3.03,TOEFL 100,45688,USD,No
AR,Universidad Nacional de Catamarca,http://www.unca.edu.ar/,Germany,Bachelors,Business,3.46,None,14833,EUR,Yes
AR,Universidad Nacional de Córdoba,http://www.unc.edu.ar/,UK,Bachelors,Mechanical Engineering,2.51,IELTS 7.5,15527,USD,No
AR,Universidad Nacional de Cuyo,http://www.uncu.edu.ar/,Australia,Masters,Business,3.64,IELTS 7.5,42889,USD,Yes
AR,Universidad Nacional de Entre Ríos,http://www.uner.edu.ar/,USA,Bachelors,Psychology,3.13,TOEFL 100,25839,EUR,No
AR,Universidad Nacional de Formosa,http://www.unf.edu.ar/,USA,Masters,Mechanical Engineering,3.21,None,15751,USD,Yes
AR,Universidad Nacional de General San Martín,http://www.unsam.edu.ar/,Germany,Bachelors,Mechanical Engineering,3.57,None,19386,EUR,No
AR,Universidad Nacional de General Sarmiento,http://www.ungs.edu.ar/,Australia,Bachelors,Mechanical Engineering,2.83,GRE 320,21995,EUR,Yes
AR,Universidad Nacional de Jujuy,http://www.unju.edu.ar/,Germany,Bachelors,Psychology,3.24,IELTS 7.5,22101,EUR,No
AR,Universidad Nacional de La Matanza,http://www.unlam.edu.ar/,Canada,Bachelors,Computer Science,3.1,None,17589,EUR,No
AR,Universidad Nacional de Lanus,http://www.unla.edu.ar/,Canada,Masters,Mechanical Engineering,3.59,TOEFL 100,38608,EUR,No
AR,Universidad Nacional de La Pampa,http://www.unlpam.edu.ar/,USA,Bachelors,Mechanical Engineering,3.22,GRE 320,20199,USD,Yes
AR,Universidad Nacional de la Patagonia Austral,http://www.unpa.edu.ar/,Canada,Bachelors,Business,3.24,IELTS 7.5,38520,USD,No
AR,"Universidad Nacional de la Patagonia ""San Juan Bosco""",http://www.unp.edu.ar/,UK,Masters,Computer Science,2.75,GRE 320,34439,EUR,No
AR,Universidad Nacional de La Plata,http://www.unlp.edu.ar/,Canada,Bachelors,Mechanical Engineering,3.95,None,44442,USD,No
AR,Universidad Nacional de La Rioja,http://www.unlar.edu.ar/,Germany,Bachelors,Law,3.3,GRE 320,30993,EUR,Yes
AR,Universidad Nacional del Centro de la Provincia de Buenos Aires,http://www.unicen.edu.ar/,Canada,Bachelors,Computer Science,2.65,GRE 320,21524,EUR,No
AR,Universidad Nacional del Comahue,http://www.uncoma.edu.ar/,Canada,Bachelors,Law,2.69,GRE 320,20949,USD,Yes
AR,Universidad Nacional del Littoral,http://www.unl.edu.ar/,Canada,Bachelors,Mechanical Engineering,2.68,IELTS 7.5,38285,USD,Yes
AR,Universidad Nacional del Nordeste,http://www.unne.edu.ar/,USA,Masters,Psychology,3.34,TOEFL 100,43571,USD,No
AR,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,http://www.unnoba.edu.ar/,Canada,Masters,Computer Science,3.09,None,35974,EUR,Yes
AR,Universidad Nacional de Lomas de Zamora,http://www.unlz.edu.ar/,UK,Bachelors,Mechanical Engineering,3.86,None,47441,USD,Yes
AR,Universidad Nacional del Sur,http://www.uns.edu.ar/,Australia,Masters,Law,2.76,None,29856,USD,No
AR,Universidad Nacional de Luján,http://www.unlu.edu.ar/,USA,Bachelors,Psychology,3.16,None,19007,EUR,No
AR,Universidad Nacional de Mar del Plata,http://www.mdp.edu.ar/,USA,Bachelors,Computer Science,2.65,None,44725,USD,No
AR,Universidad Nacional de Misiones,http://www.unam.edu.ar/,Germany,Bachelors,Business,3.55,TOEFL 100,20481,EUR,No
AR,Universidad Nacional de Quilmes,http://www.unq.edu.ar/,Canada,Bachelors,Business,3.61,GRE 320,37807,USD,Yes
AR,Universidad Nacional de Río Cuarto,http://www.unrc.edu.ar/,Canada,Masters,Law,2.96,IELTS 7.5,10340,EUR,No
AR,Universidad Nacional de Rosario,http://www.unr.edu.ar/,Canada,Bachelors,Law,3.18,TOEFL 100,24129,EUR,No
AR,Universidad Nacional de Salta,http://www.unsa.edu.ar/,Canada,Masters,Business,3.13,None,24433,USD,Yes
AR,Universidad Nacional de San Juan,http://www.unsj.edu.ar/,Germany,Masters,Business,3.51,None,44957,EUR,Yes
AR,Universidad Nacional de San Luis,http://www.unsl.edu.ar/,USA,Masters,Law,3.63,GRE 320,24775,EUR,No
AR,Universidad Nacional de Santiago del Estero,http://www.unse.edu.ar/,Germany,Bachelors,Psychology,2.81,GRE 320,15320,EUR,No
AR,Universidad Nacional de Tres de Febrero,http://www.untref.edu.ar/,Canada,Bachelors,Business,3.75,IELTS 7.5,45110,USD,No
AR,Universidad Nacional de Tucumán,http://www.unt.edu.ar/,Canada,Bachelors,Mechanical Engineering,3.62,GRE 320,23677,USD,Yes
AR,Universidad Nacional de Villa María,http://www.unvm.edu.ar/,USA,Bachelors,Law,3.56,IELTS 7.5,37137,EUR,No
AR,Universidad Notarial Argentina,http://www.universidadnotarial.edu.ar/,Germany,Bachelors,Law,3.06,GRE 320,20743,EUR,No
AR,Universidad Tecnológica Nacional,http://www.utn.edu.ar/,Australia,Masters,Psychology,3.93,IELTS 7.5,41379,USD,Yes
AR,Universidad Torcuato di Tella,http://www.utdt.edu/,USA,Masters,Computer Science,2.62,GRE 320,37143,EUR,No
AT,Akademie der bildenden Künste Wien,http://www.akbild.ac.at/,UK,Masters,Computer Science,3.6,TOEFL 100,29692,USD,Yes
AT,Donau-Universität Krems,http://www.donau-uni.ac.at/,Canada,Bachelors,Business,2.52,IELTS 7.5,31267,EUR,Yes
AT,Fachhochschule Burgenland,http://www.fh-burgenland.at/,Australia,Masters,Law,2.97,IELTS 7.5,38422,EUR,No
AT,Fachhochschule für Bank- und Finanzwirtschaft,http://www.fh-vie.ac.at/,Canada,Bachelors,Business,2.54,None,32906,USD,No
AT,Fachhochschule JOANNEUM,http://www.fh-joanneum.at/,Canada,Masters,Business,3.26,GRE 320,13945,EUR,Yes
AT,Fachhochschule Kärnten,http://www.fh-kaernten.ac.at/,USA,Masters,Computer Science,2.71,GRE 320,22115,EUR,Yes
AT,Fachhochschule Krems,http://www.fh-krems.ac.at/,USA,Masters,Mechanical Engineering,2.86,GRE 320,20065,USD,Yes
AT,Fachhochschule Kufstein (Tirol),http://www.fh-kufstein.ac.at/,Canada,Bachelors,Business,3.77,TOEFL 100,18200,USD,No
AT,Fachhochschule Salzburg,http://www.fh-sbg.ac.at/,USA,Masters,Business,2.79,IELTS 7.5,35537,USD,No
